timestamp;read_count;write_count;read_bytes;write_bytes;read_chars;write_chars
2023-07-06 11:06:29.506437;13257;56;82313216;122880;65426622;107870
2023-07-06 11:06:31.071539;13257;56;82313216;122880;65426622;107870
2023-07-06 11:06:32.635044;13257;56;82313216;122880;65426622;107870
2023-07-06 11:06:34.199231;13257;56;82313216;122880;65426622;107870
2023-07-06 11:06:35.762506;13257;56;82313216;122880;65426622;107870
2023-07-06 11:06:37.326453;13257;56;82313216;122880;65426622;107870
2023-07-06 11:06:38.889805;13257;56;82313216;122880;65426622;107870
2023-07-06 11:06:40.453316;13257;56;82313216;122880;65426622;107870
2023-07-06 11:06:42.016505;13257;56;82313216;122880;65426622;107870
2023-07-06 11:06:43.580080;13257;56;82313216;122880;65426622;107870
2023-07-06 11:06:45.148137;13257;56;82313216;122880;65426622;107870
2023-07-06 11:06:46.712301;13257;56;82313216;122880;65426622;107870
2023-07-06 11:06:48.276399;13257;56;82313216;122880;65426622;107870
2023-07-06 11:06:49.840651;13257;56;82313216;122880;65426622;107870
2023-07-06 11:06:51.404364;13257;56;82313216;122880;65426622;107870
2023-07-06 11:06:52.968507;13257;56;82313216;122880;65426622;107870
2023-07-06 11:06:54.531568;13257;56;82313216;122880;65426622;107870
2023-07-06 11:06:56.095850;13257;56;82313216;122880;65426622;107870
2023-07-06 11:06:57.659555;13257;56;82313216;122880;65426622;107870
2023-07-06 11:06:59.229093;13257;56;82313216;122880;65426622;107870
2023-07-06 11:07:00.792941;13257;56;82313216;122880;65426622;107870
2023-07-06 11:07:02.356287;13257;56;82313216;122880;65426622;107870
2023-07-06 11:07:03.918567;13257;56;82313216;122880;65426622;107870
2023-07-06 11:07:05.483424;13257;56;82313216;122880;65426622;107870
2023-07-06 11:07:07.047632;13257;56;82313216;122880;65426622;107870
2023-07-06 11:07:08.611419;13257;56;82313216;122880;65426622;107870
2023-07-06 11:07:10.174094;13257;56;82313216;122880;65426622;107870
2023-07-06 11:07:11.737294;13257;56;82313216;122880;65426622;107870
2023-07-06 11:07:13.301229;13257;56;82313216;122880;65426622;107870
2023-07-06 11:07:14.864475;13257;56;82313216;122880;65426622;107870
2023-07-06 11:07:16.428742;13257;56;82313216;122880;65426622;107870
2023-07-06 11:07:17.992276;13257;56;82313216;122880;65426622;107870
2023-07-06 11:07:19.555302;13257;56;82313216;122880;65426622;107870
2023-07-06 11:07:21.118812;13416;573;83173376;1679360;66702272;1617689
2023-07-06 11:07:22.682384;20658;73770;85684224;269889536;96357328;297026541
2023-07-06 11:07:24.254787;21917;90754;86663168;333684736;101510096;364997641
2023-07-06 11:07:25.818201;26289;128536;87699456;469762048;119413712;517690345
2023-07-06 11:07:27.382026;27155;162955;88367104;606740480;122956752;657402565
2023-07-06 11:07:28.945351;27225;163885;88596480;610033664;123227304;660700869
2023-07-06 11:07:30.524787;28633;170056;93700096;625528832;128982200;677946229
2023-07-06 11:07:32.088587;29975;176507;97685504;642756608;134462748;697025425
2023-07-06 11:07:33.653172;31508;183167;102187008;660369408;140648300;717221053
